id,name,input_x,input_y,output_x,output_y,status,app,reason,evidence_dir,bubble_bounds,body_bounds,tip_bounds,tip_x,tip_y,tip_status
GS01,陆家嘴环路样例,121.506900,31.236300,121.506900,31.236300,SUCCESS,amap,amap_taxi_pickup_is_my_location,/mnt/c/Users/admin/vf_stage/outputs/20260327_t01_amap_batch_golden10/GS01,"(426, 552, 582, 606)","(503, 561, 578, 636)","(536, 636, 543, 681)",539,681,FOUND
GS02,世纪大道样例,121.522400,31.233300,121.522400,31.233300,SUCCESS,amap,amap_taxi_pickup_is_my_location,/mnt/c/Users/admin/vf_stage/outputs/20260327_t01_amap_batch_golden10/GS02,"(426, 552, 582, 606)","(503, 561, 578, 636)","(536, 636, 543, 681)",539,681,FOUND
GS03,花木世纪公园样例,121.557000,31.223000,121.557000,31.223000,SUCCESS,amap,amap_taxi_pickup_is_my_location,/mnt/c/Users/admin/vf_stage/outputs/20260327_t01_amap_batch_golden10/GS03,"(426, 552, 582, 606)","(503, 561, 578, 636)","(536, 636, 543, 681)",539,681,FOUND
GS04,塘桥样例,121.516000,31.209000,121.516000,31.209000,SUCCESS,amap,amap_taxi_pickup_is_my_location,/mnt/c/Users/admin/vf_stage/outputs/20260327_t01_amap_batch_golden10/GS04,"(426, 552, 582, 606)","(503, 561, 578, 636)","(536, 636, 543, 681)",539,681,FOUND
GS05,金桥样例,121.604000,31.251000,121.604000,31.251000,SUCCESS,amap,amap_taxi_pickup_is_my_location,/mnt/c/Users/admin/vf_stage/outputs/20260327_t01_amap_batch_golden10/GS05,"(426, 552, 582, 606)","(503, 561, 578, 636)","(536, 636, 543, 681)",539,681,FOUND
GS06,张江样例,121.596000,31.203000,121.596000,31.203000,SUCCESS,amap,amap_taxi_pickup_is_my_location,/mnt/c/Users/admin/vf_stage/outputs/20260327_t01_amap_batch_golden10/GS06,"(426, 552, 582, 606)","(503, 561, 578, 636)","(536, 636, 543, 681)",539,681,FOUND
GS07,北蔡样例,121.548000,31.184000,121.548000,31.184000,SUCCESS,amap,amap_taxi_pickup_is_my_location,/mnt/c/Users/admin/vf_stage/outputs/20260327_t01_amap_batch_golden10/GS07,"(426, 552, 582, 606)","(503, 561, 578, 636)","(536, 636, 543, 681)",539,681,FOUND
GS08,三林样例,121.500000,31.163000,121.500000,31.163000,SUCCESS,amap,amap_taxi_pickup_is_my_location,/mnt/c/Users/admin/vf_stage/outputs/20260327_t01_amap_batch_gs08_rerun/GS08,"(426, 552, 582, 606)","(503, 561, 578, 636)","(536, 636, 543, 681)",539,681,FOUND
GS09,碧云样例,121.593000,31.241000,121.593000,31.241000,SUCCESS,amap,amap_taxi_pickup_is_my_location,/mnt/c/Users/admin/vf_stage/outputs/20260327_t01_amap_batch_tail2/GS09,"(426, 552, 582, 606)","(503, 561, 578, 636)","(536, 636, 543, 681)",539,681,FOUND
GS10,联洋样例,121.542000,31.226000,121.542000,31.226000,SUCCESS,amap,amap_taxi_pickup_is_my_location,/mnt/c/Users/admin/vf_stage/outputs/20260327_t01_amap_batch_tail2/GS10,"(426, 552, 582, 606)","(503, 561, 578, 636)","(536, 636, 543, 681)",539,681,FOUND
